timestamp,fault_d7,4700008966_kW,4700008966_power_hour,4408411600_kW,4408411600_power_hour,4608927500_kvar_hour,238045_ws_temp,279805_ws_vigor,279804_ws_level,279625_ws_temp,279623_ws_vigor,319235_ws_temp,279831_ws_temp,326417_ws_temp,326416_ws_vigor,temp_site1_anomaly_score,sfc_temp_site1_anomaly_score,gw_lvl_site2_anomaly_score,gw_temp_site2_anomaly_score
01-03-2022 13:00,1,0.0,0.0,,,0.11040001,0.0,0.0,0.0,,,0.0,0.0,,,1.65,0.25,19.27,27.79
01-03-2022 14:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,1.29,5.15,19.27,27.79
01-03-2022 15:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,5.85,3.77,19.27,27.79
01-03-2022 16:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,8.28,3.56,19.27,27.79
01-03-2022 17:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,8.04,2.45,19.27,27.79
01-03-2022 18:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,6.39,3.8,19.27,27.79
01-03-2022 19:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,4.06,2.74,19.27,27.79
01-03-2022 20:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,3.81,4.94,19.27,27.79
01-03-2022 21:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,4.37,7.37,19.27,27.79
01-03-2022 22:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,2.11,7.26,19.27,27.79
01-03-2022 23:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,4.5,7.47,19.27,27.79
01-04-2022 0:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,3.89,7.37,21.35,27.79
01-04-2022 1:00,1,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,1.74,6.7,21.35,27.79
